Sentence|AE|Drug
Warfarin-associated bleeding generally is considered deleterious; however, in our patient it unmasked an early stage of colon cancer and thus may have saved the patient's life.|bleeding|Warfarin
A case of polymyositis with dilated cardiomyopathy associated with interferon alpha treatment for hepatitis B.|dilated cardiomyopathy|interferon alpha
A case of polymyositis with dilated cardiomyopathy associated with interferon alpha treatment for hepatitis B.|polymyositis|interferon alpha
In this case, interferon alpha induced polymyositis and cardiomyopathy is diagnosed in a 33-yr-old male patient with history of chronic hepatitis B.|cardiomyopathy|interferon alpha
In this case, interferon alpha induced polymyositis and cardiomyopathy is diagnosed in a 33-yr-old male patient with history of chronic hepatitis B.|polymyositis|interferon alpha
Polymyositis is a rare complication of interferon alpha treatment as a result of immune-modulating role of the drug itself.|Polymyositis|interferon alpha
To treat hepatitis B, interferon alpha was administered until the proximal muscle weakness developed.|muscle weakness|interferon alpha
Long-term follow-up after neoplastic seeding complicating percutaneous ethanol injection for treatment of hepatocellular carcinoma.|neoplastic seeding|ethanol
We describe a case of subcutaneous metastasis along the needle track after percutaneous ethanol injection (PEI) for treatment of hepatocellular carcinoma.|subcutaneous metastasis|ethanol
Aggressive endometrial carcinoma in a breast cancer patient treated with tamoxifen with normal transvaginal ultrasonography.|Aggressive endometrial carcinoma|tamoxifen
Since tamoxifen therapy can induce endometrial disorders, surveillance schemes of women taking tamoxifen have been recommended.|endometrial disorders|tamoxifen
Since tamoxifen therapy can induce endometrial disorders, surveillance schemes of women taking tamoxifen have been recommended.|endometrial disorders|tamoxifen
We described a very atypical case of a high stage, high grade endometrial cancer associated with tamoxifen in a 64-year-old woman with a past history of breast cancer.|endometrial cancer|tamoxifen
Beginning ductopenia was present in two, suggesting that itraconazole might be responsible for the occurrence of prolonged drug-induced cholangiopathy.|cholangiopathy|itraconazole
Beginning ductopenia was present in two, suggesting that itraconazole might be responsible for the occurrence of prolonged drug-induced cholangiopathy.|ductopenia|itraconazole
CONCLUSIONS: Itraconazole-induced liver injury presents with a cholestatic pattern of injury with damage to the interlobular bile ducts, possibly leading to ductopenia.|cholestatic pattern of injury|Itraconazole
CONCLUSIONS: Itraconazole-induced liver injury presents with a cholestatic pattern of injury with damage to the interlobular bile ducts, possibly leading to ductopenia.|damage to the interlobular bile ducts|Itraconazole
CONCLUSIONS: Itraconazole-induced liver injury presents with a cholestatic pattern of injury with damage to the interlobular bile ducts, possibly leading to ductopenia.|ductopenia|Itraconazole
CONCLUSIONS: Itraconazole-induced liver injury presents with a cholestatic pattern of injury with damage to the interlobular bile ducts, possibly leading to ductopenia.|liver injury|Itraconazole
Hepatotoxicity related to itraconazole: report of three cases.|Hepatotoxicity|itraconazole
METHODS: Three patients with apparent itraconazole-induced liver injury were studied.|liver injury|itraconazole
The occurrence of acute hepatitis is best known for ketoconazole.|hepatitis|ketoconazole
We report on three patients who developed acute liver damage during therapy with itraconazole, and in whom liver biopsy specimens were obtained.|liver damage|itraconazole
We suggest that itraconazole should be added to the list of drugs that may be responsible for a drug-induced vanishing bile duct syndrome.|vanishing bile duct syndrome|itraconazole
With itraconazole, hepatotoxic reactions have only very rarely been reported, and histologic data are lacking.|hepatotoxic|itraconazole
Thrombotic stroke associated with the use of porcine factor VIII in a patient with acquired haemophilia.|Thrombotic stroke|porcine factor VIII
We have recently encountered a patient with acquired haemophilia who developed a thrombotic left middle cerebral artery distribution stroke while being treated with pFVIII.|thrombotic left middle cerebral artery distribution stroke|pFVIII
We speculate that platelet activation induced by pFVIII may have contributed to thrombosis and suggest that pFVIII be used with caution in elderly patients with pre-existing cardiovascular risk factors.|thrombosis|pFVIII
Cutaneous sarcoidosis during interferon alfa and ribavirin treatment of hepatitis C virus infection: two cases.|Cutaneous sarcoidosis|interferon alfa
Cutaneous sarcoidosis during interferon alfa and ribavirin treatment of hepatitis C virus infection: two cases.|Cutaneous sarcoidosis|ribavirin
There have been more than 20 observations of the appearance or aggravation of this granulomatosis with interferon alfa and more recently with the combination of interferon alfa plus ribavirin.|granulomatosis|interferon alfa
There have been more than 20 observations of the appearance or aggravation of this granulomatosis with interferon alfa and more recently with the combination of interferon alfa plus ribavirin.|granulomatosis|interferon alfa
There have been more than 20 observations of the appearance or aggravation of this granulomatosis with interferon alfa and more recently with the combination of interferon alfa plus ribavirin.|granulomatosis|ribavirin
We report two new cases of sarcoidosis in two patients with hepatitis C virus infection treated with interferon alfa and ribavirin.|sarcoidosis|interferon alfa
We report two new cases of sarcoidosis in two patients with hepatitis C virus infection treated with interferon alfa and ribavirin.|sarcoidosis|ribavirin
CONCLUSIONS: Although mirtazapine offers clinicians a combination of strong efficacy and good safety, we suggest bearing SS in mind when prescribing this drug, especially in frail, elderly patients with underlying chronic conditions.|SS|mirtazapine
DISCUSSION: A review of the cases of SS with implication of mirtazapine as the cause was performed.|SS|mirtazapine
OBJECTIVE: To document a case of serotonin syndrome (SS) associated with mirtazapine monotherapy, review the previously reported cases of SS associated with this tetracyclic antidepressant, and discuss the possible pathogenic mechanisms leading to this serious adverse drug reaction.|serotonin syndrome|mirtazapine
OBJECTIVE: To document a case of serotonin syndrome (SS) associated with mirtazapine monotherapy, review the previously reported cases of SS associated with this tetracyclic antidepressant, and discuss the possible pathogenic mechanisms leading to this serious adverse drug reaction.|SS|mirtazapine
Severe serotonin syndrome induced by mirtazapine monotherapy.|serotonin syndrome|mirtazapine
Pulmonary toxicity secondary to procarbazine.|Pulmonary toxicity|procarbazine
A 64-year-old man presented with proteinuria during postoperative interferon (IFN)-beta therapy against malignant melanoma.|proteinuria|interferon (IFN)-beta
Minimal change nephrotic syndrome developing during postoperative interferon-beta therapy for malignant melanoma.|Minimal change nephrotic syndrome|interferon-beta
To our knowledge this is the first report that demonstrates histological abnormalities of the glomerulus associated with postoperative IFN-beta therapy for the malignant melanoma.|histological abnormalities of the glomerulus|IFN-beta
The authors report two cases of delayed elimination of methotrexate in patients receiving ciprofloxacin, with severe toxicity.|delayed elimination|ciprofloxacin
The authors report two cases of delayed elimination of methotrexate in patients receiving ciprofloxacin, with severe toxicity.|delayed elimination|methotrexate
The authors report two cases of delayed elimination of methotrexate in patients receiving ciprofloxacin, with severe toxicity.|toxicity|ciprofloxacin
CONCLUSIONS: Clinicians should be aware of the possible association of thrombocytopenia with lansoprazole and discontinue the drug if thrombocytopenia becomes apparent.|thrombocytopenia|lansoprazole
DISCUSSION: After exclusion of other causes, the onset of thrombocytopenia after administration of lansoprazole, the resolution of the adverse reaction after discontinuation of the drug, and the fact that no other medicines were introduced during this time frame lead us to believe that this was most likely an idiosyncratic thrombocytopenic response to lansoprazole.|thrombocytopenia|lansoprazole
DISCUSSION: After exclusion of other causes, the onset of thrombocytopenia after administration of lansoprazole, the resolution of the adverse reaction after discontinuation of the drug, and the fact that no other medicines were introduced during this time frame lead us to believe that this was most likely an idiosyncratic thrombocytopenic response to lansoprazole.|thrombocytopenic|lansoprazole
He was started on oral lansoprazole 60 mg twice daily and, on hospital day 2, his platelet count decreased to 102 x 10(3)/mm(3); on hospital day 3, the platelet count was 36 x 10(3)/mm(3).|platelet count decreased|lansoprazole
Lansoprazole-induced thrombocytopenia.|thrombocytopenia|Lansoprazole
OBJECTIVE: To describe a case of thrombocytopenia associated with the administration of lansoprazole.|thrombocytopenia|lansoprazole
To date, this is the first reported case of what appears to be isolated thrombocytopenia associated with lansoprazole.|thrombocytopenia|lansoprazole
Life-threatening anaphylactoid reaction to amifostine used with concurrent chemoradiotherapy for nasopharyngeal cancer in a patient with dermatomyositis: a case report with literature review.|anaphylactoid reaction|amifostine
The most common side effects associated with amifostine are nausea, vomiting, hypotension, hypocalcemia and allergic reactions.|allergic reactions|amifostine
The most common side effects associated with amifostine are nausea, vomiting, hypotension, hypocalcemia and allergic reactions.|hypocalcemia|amifostine
The most common side effects associated with amifostine are nausea, vomiting, hypotension, hypocalcemia and allergic reactions.|hypotension|amifostine
The most common side effects associated with amifostine are nausea, vomiting, hypotension, hypocalcemia and allergic reactions.|nausea|amifostine
The most common side effects associated with amifostine are nausea, vomiting, hypotension, hypocalcemia and allergic reactions.|vomiting|amifostine
The patient suffered a life-threatening anaphylactoid reaction to amifostine.|life-threatening anaphylactoid reaction|amifostine
Agranulocytosis during clozapine therapy.|Agranulocytosis|clozapine
Granulocytopenia and agranulocytosis are considered among the most dangerous adverse effects of clozapine.|agranulocytosis|clozapine
Granulocytopenia and agranulocytosis are considered among the most dangerous adverse effects of clozapine.|Granulocytopenia|clozapine
The female patient received clozapine in a daily dose of 400 mg, which induced agranulocytosis after 2 months.|agranulocytosis|clozapine
The male patient was treated with 225-mg/day clozapine and the time to the diagnosis of agranulocytosis was 6 weeks.|agranulocytosis|clozapine
A 53-year-old man developed NMS without rigidity while taking olanzapine.|NMS|olanzapine
Atypical neuroleptic malignant syndrome associated with olanzapine.|neuroleptic malignant syndrome|olanzapine
CASE SUMMARY: We report the case of a 31-year-old patient hospitalized due to behavioral alterations and treated with oral zuclopenthixol, an antipsychotic from the thioxanthene family, who developed an acute, painful erection.|painful erection|zuclopenthixol
CONCLUSIONS: Priapism is an uncommon but potentially serious adverse effect of zuclopenthixol that practitioners, as with many other antipsychotics, should be aware of.|Priapism|zuclopenthixol
DISCUSSION: The occurrence of priapism in our patient was related to zuclopenthixol.|priapism|zuclopenthixol
OBJECTIVE: To present a single case of zuclopenthixol-induced priapism and a literature review.|priapism|zuclopenthixol
Priapism associated with zuclopenthixol.|Priapism|zuclopenthixol
The capacity of zuclopenthixol to induce priapism is thought to be due to its antagonist activity on alpha-adrenergic receptors.|priapism|zuclopenthixol
After identification of the index patient, additional inquiry revealed that the patient's mother was hospitalized previously for overwhelming sepsis associated with metamizole use.|sepsis|metamizole
Metamizole, a nonsteroidal antiinflammatory agent, is prohibited in the United States because of the risk of agranulocytosis but is widely used in Mexico and other countries.|agranulocytosis|Metamizole
Erythropoietin is beneficial in mitomycin-induced hemolytic-uremic syndrome.|hemolytic-uremic syndrome|mitomycin
We describe a patient who developed HUS after treatment with mitomycin C (total dose 144 mg/m2) due to a carcinoma of the ascending colon.|HUS|mitomycin C
Levofloxacin-induced toxic epidermal necrolysis in an elderly patient.|toxic epidermal necrolysis|Levofloxacin
To our knowledge, this case is the first published report of levofloxacin-induced TEN.|TEN|levofloxacin
A 31-year-old female developed multiple episodes of grand mal seizures after combination chemotherapy with cisplatin, vinblastine and bleomycin for germ cell ovarian cancer stage Ic.|grand mal seizures|bleomycin
A 31-year-old female developed multiple episodes of grand mal seizures after combination chemotherapy with cisplatin, vinblastine and bleomycin for germ cell ovarian cancer stage Ic.|grand mal seizures|cisplatin
A 31-year-old female developed multiple episodes of grand mal seizures after combination chemotherapy with cisplatin, vinblastine and bleomycin for germ cell ovarian cancer stage Ic.|grand mal seizures|vinblastine
Posterior leukoencephalopathy following cisplatin, bleomycin and vinblastine therapy for germ cell tumor of the ovary.|Posterior leukoencephalopathy|bleomycin
Posterior leukoencephalopathy following cisplatin, bleomycin and vinblastine therapy for germ cell tumor of the ovary.|Posterior leukoencephalopathy|cisplatin
Posterior leukoencephalopathy following cisplatin, bleomycin and vinblastine therapy for germ cell tumor of the ovary.|Posterior leukoencephalopathy|vinblastine
After 5 days of treatment with IL-2, the patient developed a hemorrhagic lesion that progressed to toxic epidermal necrolysis, as well as grade 4 pancytopenia.|hemorrhagic lesion|IL-2
After 5 days of treatment with IL-2, the patient developed a hemorrhagic lesion that progressed to toxic epidermal necrolysis, as well as grade 4 pancytopenia.|pancytopenia|IL-2
After 5 days of treatment with IL-2, the patient developed a hemorrhagic lesion that progressed to toxic epidermal necrolysis, as well as grade 4 pancytopenia.|toxic epidermal necrolysis|IL-2
OBJECTIVE: To report a case of cutaneous and hematologic toxicity in a patient treated with IL-2.|cutaneous and hematologic toxicity|IL-2
Subcutaneous IL-2 is safe and well tolerated, with a mortality rate <3%.|mortality rate <3|IL-2
Toxic epidermal necrolysis associated with interleukin-2.|Toxic epidermal necrolysis|interleukin-2
A case of anaphylactoid reaction due solely to the use of Gelofusine in a patient with non-haemorrhagic hypovolaemia is presented, with a discussion on the management and the use of allergy identification jewellery.|anaphylactoid reaction|Gelofusine
Gelofusine allergy--the need for identification jewellery.|Gelofusine allergy|Gelofusine
The authors describe valproate-induced hyperammonemia and mental status changes in an 88-year-old man, the first known reported case in an elderly patient.|hyperammonemia|valproate
The authors describe valproate-induced hyperammonemia and mental status changes in an 88-year-old man, the first known reported case in an elderly patient.|mental status changes|valproate
Valproate-induced hyperammonemia as a cause of altered mental status.|altered mental status|Valproate
Valproate-induced hyperammonemia as a cause of altered mental status.|hyperammonemia|Valproate
Leiomyosarcoma in urinary bladder after cyclophosphamide therapy for retinoblastoma and review of bladder sarcomas.|Leiomyosarcoma|cyclophosphamide
The epivodes of NMS occured under treatment with clozapine, risperidone, and amisulpride.|NMS|amisulpride
The epivodes of NMS occured under treatment with clozapine, risperidone, and amisulpride.|NMS|clozapine
The epivodes of NMS occured under treatment with clozapine, risperidone, and amisulpride.|NMS|risperidone
A 73-year-old woman presented with fever and cough 2 weeks after completing the third cycle of fludarabine for chronic lymphocytic leukemia (CLL).|cough|fludarabine
A 73-year-old woman presented with fever and cough 2 weeks after completing the third cycle of fludarabine for chronic lymphocytic leukemia (CLL).|fever|fludarabine
Fludarabine induced lung toxicity must be considered in all patients who develop unexplained lung disease while receiving fludarabine.|lung disease|Fludarabine
Fludarabine induced lung toxicity must be considered in all patients who develop unexplained lung disease while receiving fludarabine.|lung disease|fludarabine
Fludarabine induced lung toxicity must be considered in all patients who develop unexplained lung disease while receiving fludarabine.|lung toxicity|Fludarabine
Multiple pulmonary nodules: an unusual presentation of fludarabine pulmonary toxicity: case report and review of literature.|Multiple pulmonary nodules|fludarabine
Multiple pulmonary nodules: an unusual presentation of fludarabine pulmonary toxicity: case report and review of literature.|pulmonary toxicity|fludarabine
This case extends the spectrum of fludarabine pulmonary toxicity to include pulmonary nodules.|pulmonary nodules|fludarabine
This case extends the spectrum of fludarabine pulmonary toxicity to include pulmonary nodules.|pulmonary toxicity|fludarabine
To our knowledge, four cases of interstitial pneumonitis associated with fludarabine have been reported in medical literature.|interstitial pneumonitis|fludarabine
Epoprostenol may be associated rarely with severe erythroderma.|erythroderma|Epoprostenol
Severe erythroderma as a complication of continuous epoprostenol therapy.|erythroderma|epoprostenol
We report a case of a patient with pulmonary hypertension and undifferentiated connective tissue disease who, after 2 months of treatment with epoprostenol, presented with rapidly progressive erythema, scaling, nausea and vomiting, and fever.|fever|epoprostenol
We report a case of a patient with pulmonary hypertension and undifferentiated connective tissue disease who, after 2 months of treatment with epoprostenol, presented with rapidly progressive erythema, scaling, nausea and vomiting, and fever.|nausea|epoprostenol
We report a case of a patient with pulmonary hypertension and undifferentiated connective tissue disease who, after 2 months of treatment with epoprostenol, presented with rapidly progressive erythema, scaling, nausea and vomiting, and fever.|rapidly progressive erythema|epoprostenol
We report a case of a patient with pulmonary hypertension and undifferentiated connective tissue disease who, after 2 months of treatment with epoprostenol, presented with rapidly progressive erythema, scaling, nausea and vomiting, and fever.|scaling|epoprostenol
We report a case of a patient with pulmonary hypertension and undifferentiated connective tissue disease who, after 2 months of treatment with epoprostenol, presented with rapidly progressive erythema, scaling, nausea and vomiting, and fever.|vomiting|epoprostenol
A 50-year-old diabetic and hypertensive male patient is reported who had ticlopidine-induced marrow aplasia partially responsive to colony-stimulating factors and corticosteroids, but experienced complete recovery with cyclosporine.|marrow aplasia|ticlopidine
There is no consensus on the treatment of ticlopidine-induced marrow aplasia.|marrow aplasia|ticlopidine
Ticlopidine-induced marrow aplasia treated with cyclosporine.|marrow aplasia|Ticlopidine
A 53-year-old man developed lower leg edema 4 weeks after rosiglitazone was increased from 4 mg once/day to 4 mg twice/day.|lower leg edema|rosiglitazone
A 75-year-old man developed bilateral lower leg edema 6 months after switching from troglitazone to pioglitazone.|bilateral lower leg edema|pioglitazone
A 77-year-old man developed ankle, hand, and facial swelling 2 weeks after starting rosiglitazone.|ankle, hand, and facial swelling|rosiglitazone
Two cases of polymorphic ventricular tachycardia induced by the administration of verapamil against paroxysmal supraventricular tachycardia.|polymorphic ventricular tachycardia|verapamil
Verapamil is widely used for the termination of paroxysmal supraventricular tachycardia (PSVT) with little proarrhythmic effect.|proarrhythmic effect|Verapamil
We describe two cases of PSVT that changed to non-sustained polymorphic ventricular tachycardia after administration of verapamil.|non-sustained polymorphic ventricular tachycardia|verapamil
Epsilon-aminocaproic acid and renal complications: case report and review of the literature.|renal complications|Epsilon-aminocaproic acid
Neonatal mydriasis: intravenous lidocaine adverse reaction.|mydriasis|lidocaine
We present a neonate with a seizure disorder who acutely developed pupillary mydriasis secondary to lidocaine overdose.|pupillary mydriasis|lidocaine
We suggest adding this side effect to the list of untoward effects of lidocaine and to the differential diagnosis of fixed dilated pupils in neonates treated with lidocaine.|dilated pupils|lidocaine
Myelodysplasia terminating in acute myeloid leukemia in a hairy cell leukemia patient treated with 2-deoxycoformycin.|acute myeloid leukemia|2-deoxycoformycin
Myelodysplasia terminating in acute myeloid leukemia in a hairy cell leukemia patient treated with 2-deoxycoformycin.|Myelodysplasia|2-deoxycoformycin
To the best of our knowledge only two previous cases of AML have been linked to treatment of HCL with purine analogs, both with 2-chlorodeoxyadenosine.|AML|2-chlorodeoxyadenosine
CONCLUSIONS: Peripheral administration of low-dose vasopressin for septic shock should be discouraged because of the risk of ischemic skin complications.|ischemic skin complications|vasopressin
OBJECTIVE: To describe a case of severe skin necrosis resulting from peripheral intravenous administration of low-dose vasopressin in a patient with catecholamine-resistant septic shock.|skin necrosis|vasopressin
Skin necrosis after extravasation of low-dose vasopressin administered for septic shock.|Skin necrosis|vasopressin
Mitomycin-C induced hemolytic uremic syndrome: a case report.|hemolytic uremic syndrome|Mitomycin-C
Mitomycin-C is used widely in the treatment of malignancies and is associated with serious dose related adverse effects including the occurrence of hemolytic uremic syndrome.|hemolytic uremic syndrome|Mitomycin-C
Although vasculitis has been reported in the course of hairy cell leukaemia, it has only rarely been reported as the consequence of cladribine treatment.|vasculitis|cladribine
Systemic vasculitis complicating hairy cell leukaemia treatment with cladribine.|Systemic vasculitis|cladribine
We describe a 73-year-old woman who developed serious systemic vasculitis with associated thrombocytopenia in the course of treatment with cladribine.|systemic vasculitis|cladribine
We describe a 73-year-old woman who developed serious systemic vasculitis with associated thrombocytopenia in the course of treatment with cladribine.|thrombocytopenia|cladribine
Drug-induced mammary hyperplasias have been reported as rare complications of D-penicillamine and Neothetazone.|mammary hyperplasias|D-penicillamine
Drug-induced mammary hyperplasias have been reported as rare complications of D-penicillamine and Neothetazone.|mammary hyperplasias|Neothetazone
Gigantomastia induced by bucillamine.|Gigantomastia|bucillamine
Retrospectively, bucillamine was believed to be the cause of the giant hypertrophy because of its structural similarity to D-penicillamine, which was the subject of an abundance of reports of mammary hyperplasia.|giant hypertrophy|bucillamine
Retrospectively, bucillamine was believed to be the cause of the giant hypertrophy because of its structural similarity to D-penicillamine, which was the subject of an abundance of reports of mammary hyperplasia.|mammary hyperplasia|D-penicillamine
The authors report the first case of bucillamine-induced giant mammary hyperplasia.|giant mammary hyperplasia|bucillamine
The authors describe three families in whom the occurrence of FVS in all the siblings strongly suggests hereditary susceptibility to valproic acid-induced adverse outcome.|FVS|valproic acid
The fetal valproate syndrome (FVS) is characterized by distinctive facial appearance, major and minor malformations, and developmental delay.|developmental delay|valproate
The fetal valproate syndrome (FVS) is characterized by distinctive facial appearance, major and minor malformations, and developmental delay.|distinctive facial appearance|valproate
The fetal valproate syndrome (FVS) is characterized by distinctive facial appearance, major and minor malformations, and developmental delay.|fetal valproate syndrome|valproate
The fetal valproate syndrome (FVS) is characterized by distinctive facial appearance, major and minor malformations, and developmental delay.|FVS|valproate
The fetal valproate syndrome (FVS) is characterized by distinctive facial appearance, major and minor malformations, and developmental delay.|major and minor malformations|valproate
Valproate embryopathy in three sets of siblings: further proof of hereditary susceptibility.|Valproate embryopathy|Valproate
Generalised pustular psoriasis induced by cyclosporin a withdrawal responding to the tumour necrosis factor alpha inhibitor etanercept.|Generalised pustular psoriasis|cyclosporin a
We report a 50-year-old male patient with a 15-year history of psoriasis including mutilating psoriatic arthritis, in whom the withdrawal of cyclosporin A induced a generalised pustular exacerbation and a aggravation of the joint condition.|aggravation of the joint condition|cyclosporin A
We report a 50-year-old male patient with a 15-year history of psoriasis including mutilating psoriatic arthritis, in whom the withdrawal of cyclosporin A induced a generalised pustular exacerbation and a aggravation of the joint condition.|generalised pustular exacerbation|cyclosporin A
The first case concerns a 70-year-old man who developed severe aplastic anemia 7 weeks after treatment with 500 mg of ticlopidine daily.|aplastic anemia|ticlopidine
The second was an 82-year-old man receiving ticlopidine for 2 years when, during a febrile episode, he was found neutropenic with marrow aplasia.|marrow aplasia|ticlopidine
The second was an 82-year-old man receiving ticlopidine for 2 years when, during a febrile episode, he was found neutropenic with marrow aplasia.|neutropenic|ticlopidine
Ticlopidine-induced aplastic anemia (TIAA) is considered very uncommon.|aplastic anemia|Ticlopidine
Ticlopidine-induced aplastic anemia (TIAA) is considered very uncommon.|TIAA|Ticlopidine
Ticlopidine-induced aplastic anemia: two new case reports, review, and meta-analysis of 55 additional cases.|aplastic anemia|Ticlopidine
When the data of the 57 patients are evaluated, a reversible direct cytotoxic effect of ticlopidine on the pluripotent/bipotent hematopoietic progenitor stem cell is proposed.|cytotoxic effect|ticlopidine
Fixed drug eruption to rofecoxib.|Fixed drug eruption|rofecoxib
Rofecoxib, used for dysmenorrhea, caused a herpetiform fixed drug eruption predominantly involving the lips with classic clinical and histological findings in a red-brown lesion on the dorsal hand.|herpetiform fixed drug eruption|Rofecoxib
Rofecoxib, used for dysmenorrhea, caused a herpetiform fixed drug eruption predominantly involving the lips with classic clinical and histological findings in a red-brown lesion on the dorsal hand.|red-brown lesion|Rofecoxib
A patient who had been treated with large doses of thyroid hormone for several years developed features of secondary hypothyroidism after thyroid hormone withdrawal.|hypothyroidism|thyroid hormone
BACKGROUND: Gemcitabine has mild renal toxicity, but cases of gemcitabine-associated hemolytic-uremic syndrome (HUS) have been reported.|hemolytic-uremic syndrome|gemcitabine
BACKGROUND: Gemcitabine has mild renal toxicity, but cases of gemcitabine-associated hemolytic-uremic syndrome (HUS) have been reported.|hemolytic-uremic syndrome|Gemcitabine
BACKGROUND: Gemcitabine has mild renal toxicity, but cases of gemcitabine-associated hemolytic-uremic syndrome (HUS) have been reported.|HUS|gemcitabine
BACKGROUND: Gemcitabine has mild renal toxicity, but cases of gemcitabine-associated hemolytic-uremic syndrome (HUS) have been reported.|HUS|Gemcitabine
BACKGROUND: Gemcitabine has mild renal toxicity, but cases of gemcitabine-associated hemolytic-uremic syndrome (HUS) have been reported.|renal toxicity|Gemcitabine
CONCLUSION: There are only a few confirmed cases of gemcitabine-associated HUS despite the widespread use of the drug.|HUS|gemcitabine
Gemcitabine-associated hemolytic-uremic syndrome.|hemolytic-uremic syndrome|Gemcitabine
Mean time between initiation of gemcitabine therapy and onset of HUS was 7.4 +/- 3.5 months, or 21.9 +/- 10.9 doses of gemcitabine.|HUS|gemcitabine
Mean time between initiation of gemcitabine therapy and onset of HUS was 7.4 +/- 3.5 months, or 21.9 +/- 10.9 doses of gemcitabine.|HUS|gemcitabine
METHODS: A case is presented of a 45-year-old woman on prolonged gemcitabine treatment for ovarian cancer who developed HUS and recovered after drug discontinuation.|HUS|gemcitabine
RESULTS: Including our own patient, a total of 26 cases of gemcitabine-associated HUS were identified.|HUS|gemcitabine
An amiodarone optic neuropathy has been described.|optic neuropathy|amiodarone
